[MASTER] 14:43:51.904 [pool-2-thread-1] WARN  TestSuiteSerialization - Cannot load tests because file does not exist: /home/rickecr/Documentos/fulano-de-sal/.evosuite/evosuite-seeds/br.com.marmitaria.rest.controller.CategoriaController.seed
[MASTER] 14:43:54.421 [pool-2-thread-1] WARN  TestFactory - Bounded variable issue when calling createVariable()
[MASTER] 14:43:54.421 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No objects and generators for type class br.com.marmitaria.persistence.service.CategoriaService
[MASTER] 14:43:54.534 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.function.UnaryOperator<java.lang.Object> canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 14:43:54.536 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<java.lang.String> canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 14:43:55.763 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.function.UnaryOperator<java.lang.String> canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 14:43:56.333 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.function.UnaryOperator<br.com.marmitaria.persistence.model.Categoria> canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 14:43:56.771 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<java.lang.Object> canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 14:43:57.424 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<java.sql.SQLTransactionRollbackException> canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 14:43:58.756 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransactionRollbackException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLWarning due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLIntegrityConstraintViolationException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:43:58.951 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<br.com.marmitaria.persistence.model.Categoria> canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 14:43:59.413 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<java.lang.String> canUseFunctionalMocks=false, canBeMocked: false
[MASTER] 14:43:59.801 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:44:01.645 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransactionRollbackException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLClientInfoException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLClientInfoException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:44:02.477 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<java.lang.Object> canUseFunctionalMocks=false, canBeMocked: false
[MASTER] 14:44:02.880 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<br.com.marmitaria.persistence.model.Categoria> canUseFunctionalMocks=false, canBeMocked: false
[MASTER] 14:44:04.234 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransactionRollbackException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.evosuite.runtime.mock.java.lang.MockThrowable due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:44:05.434 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransactionRollbackException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLClientInfoException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLClientInfoException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLClientInfoException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:44:06.227 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<java.lang.Integer> canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 14:44:07.871 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 13, type java.util.function.Function<java.lang.Object, java.util.Optional<br.com.marmitaria.persistence.model.Categoria>> is not assignable to java.util.function.Function<? super java.lang.Object, ? extends java.util.Optional<java.util.Optional<java.lang.String>>>
[MASTER] 14:44:07.967 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 8, type java.util.function.Function<java.lang.Object, org.springframework.data.util.Lazy<java.sql.SQLTransactionRollbackException>> is not assignable to java.util.function.Function<? super java.lang.Object, ? extends org.springframework.data.util.Lazy<java.lang.String>>
[MASTER] 14:44:08.408 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 12, type java.util.function.Function<java.lang.Object, org.springframework.data.util.Lazy<java.lang.Integer>> is not assignable to java.util.function.Function<? super java.sql.SQLTransactionRollbackException, org.springframework.data.util.Lazy<? extends java.lang.Integer>>
[MASTER] 14:44:08.627 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 18, type java.util.function.Function<java.lang.Object, org.springframework.data.util.Lazy<java.lang.Integer>> is not assignable to java.util.function.Function<? super java.lang.Integer, org.springframework.data.util.Lazy<? extends java.lang.Integer>>
[MASTER] 14:44:09.618 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Error: VariableReference: Statement 13, type java.util.function.Function<java.lang.Object, org.springframework.data.util.Lazy<java.sql.SQLTransactionRollbackException>> is not assignable to java.util.function.Function<? super java.lang.Object, ? extends org.springframework.data.util.Lazy<java.lang.String>>
[MASTER] 14:44:10.382 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransactionRollbackException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransientConnectionException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientConnectionException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLSyntaxErrorException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:44:10.453 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.springframework.data.util.Lazy due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.springframework.util.function.SingletonSupplier due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
