[MASTER] 14:31:21.716 [pool-2-thread-1] WARN  TestSuiteSerialization - Cannot load tests because file does not exist: /home/rickecr/Documentos/fulano-de-sal/.evosuite/evosuite-seeds/br.com.marmitaria.rest.controller.PedidoController.seed
[MASTER] 14:31:25.298 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for class br.com.marmitaria.persistence.model.Pedido canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 14:31:26.252 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<java.lang.Integer> canUseFunctionalMocks=false, canBeMocked: false
[MASTER] 14:31:26.777 [pool-2-thread-1] WARN  TestFactory - Bounded variable issue when calling createVariable()
[MASTER] 14:31:26.778 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No objects and generators for type class br.com.marmitaria.persistence.service.PedidoService
[MASTER] 14:31:27.865 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<java.lang.Object> canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 14:31:37.815 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for br.com.marmitaria.persistence.service.ProdutoService due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:31:38.714 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<java.lang.Object> canUseFunctionalMocks=false, canBeMocked: false
[MASTER] 14:31:49.603 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLIntegrityConstraintViolationException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLFeatureNotSupportedException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLTransactionRollbackException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:31:50.142 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLIntegrityConstraintViolationException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.BatchUpdateException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientConnectionException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:31:53.868 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: No objects and generators for type class br.com.marmitaria.persistence.service.ProdutoService
[MASTER] 14:31:54.162 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for br.com.marmitaria.rest.reponse.PedidosResponse due to org.evosuite.ga.ConstructionFailedException: No objects and generators for type class br.com.marmitaria.persistence.service.PedidoService
[MASTER] 14:31:55.281 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for br.com.marmitaria.rest.reponse.PedidoResponse due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:31:55.935 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<br.com.marmitaria.persistence.model.Pedido> canUseFunctionalMocks=false, canBeMocked: false
[MASTER] 14:31:55.935 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for java.util.Optional<br.com.marmitaria.persistence.model.Pedido> canUseFunctionalMocks=true, canBeMocked: false
[MASTER] 14:31:57.153 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for class br.com.marmitaria.rest.reponse.PedidoResponse canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 14:32:04.741 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLIntegrityConstraintViolationException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLRecoverableException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLWarning due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:32:13.376 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for br.com.marmitaria.rest.reponse.PedidosResponse due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:32:43.488 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:32:44.717 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLIntegrityConstraintViolationException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLInvalidAuthorizationSpecException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:33:05.606 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for class br.com.marmitaria.persistence.service.ProdutoService canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 14:33:20.168 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLIntegrityConstraintViolationException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLIntegrityConstraintViolationException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:33:30.457 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLIntegrityConstraintViolationException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
[MASTER] 14:33:30.852 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLIntegrityConstraintViolationException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.BatchUpdateException due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.sql.SQLNonTransientException due to org.evosuite.ga.ConstructionFailedException: Max recursion depth reached
